checkpoint,family,canonical_bgr555_sha256,re_bgr555_sha256,mismatch_count,first_x,first_y,canonical_owner,re_owner,classification
player_frame_00,player,862562dfb728b0557438aefd3013d436dfd92c813c6b79116945aeef32c8f396,862562dfb728b0557438aefd3013d436dfd92c813c6b79116945aeef32c8f396,0,,,,,match
player_frame_01,player,48f3fb54dd6fc1b3f19d914bf3494df0443d219d96067f51b1ad975c973bf8f5,48f3fb54dd6fc1b3f19d914bf3494df0443d219d96067f51b1ad975c973bf8f5,0,,,,,match
player_frame_02,player,376172611d4e2147b154426240626a161043e548291acbc6b1005b40e1e4784d,376172611d4e2147b154426240626a161043e548291acbc6b1005b40e1e4784d,0,,,,,match
player_frame_03,player,ce1237be9a09d6e2cdfaa0bb81c5dc4cf48950024d89afb7467913eef2c2a0f4,ce1237be9a09d6e2cdfaa0bb81c5dc4cf48950024d89afb7467913eef2c2a0f4,0,,,,,match
player_frame_04,player,67023d7e21f2ed5b216a5932508d4c736174f96ffdc2f7ec3b3ddc857bc44955,67023d7e21f2ed5b216a5932508d4c736174f96ffdc2f7ec3b3ddc857bc44955,0,,,,,match
player_frame_05,player,15374682090fd8de79f795779433eeb4d7e4c9bd4a223318888909b158f7ce65,15374682090fd8de79f795779433eeb4d7e4c9bd4a223318888909b158f7ce65,0,,,,,match
player_frame_06,player,eda307693544d53198e202f2f2ee32b5ff22e4ecd29aaebfe2debac883c2e185,eda307693544d53198e202f2f2ee32b5ff22e4ecd29aaebfe2debac883c2e185,0,,,,,match
player_frame_07,player,69145cc21bafc65abf6c3460fdaf9a4332bf7ab2408b934159a08e98c30f6ac3,69145cc21bafc65abf6c3460fdaf9a4332bf7ab2408b934159a08e98c30f6ac3,0,,,,,match
player_frame_08,player,2cb6dc7c63626a924020d50bf99657a858c46c64d2003c56fe1f4aae04014ae8,2cb6dc7c63626a924020d50bf99657a858c46c64d2003c56fe1f4aae04014ae8,0,,,,,match
player_frame_09,player,2c18292f32bb4f9f00a9260623b18bf843e8863b4ca51e8c145bc84d08da8fcd,2c18292f32bb4f9f00a9260623b18bf843e8863b4ca51e8c145bc84d08da8fcd,0,,,,,match
player_frame_10,player,82789c411cb1f8488bbd7bbf02bc0e9818e2774a2ad72f8734044193bd9f1e84,82789c411cb1f8488bbd7bbf02bc0e9818e2774a2ad72f8734044193bd9f1e84,0,,,,,match
player_frame_11,player,ac500a3183312a2649accc6a948e4db8f77d4df172308ecfa12b9b6877ae0814,ac500a3183312a2649accc6a948e4db8f77d4df172308ecfa12b9b6877ae0814,0,,,,,match
