level,camera_x,camera_y,state_label,physical_index,mutation_branch,mutation_patch_index,expected_sha256,re_sha256,mismatch_pixels,visible_alias_pixels,visible_alias_screenblocks,first_mismatch_x,first_mismatch_y,classification,expected_bg_index,re_bg_index,expected_screenblock,re_screenblock,expected_entry,re_entry,expected_tile_index,re_tile_index,expected_palette_index,re_palette_index,expected_color,re_color,expected_tile_alias_sb,re_tile_alias_sb
0,0,0,corner_top_left,,,,3e53c5eefbe8dd0c980e13f6cd497f7399eeee7b85a16349bf77037a85dfd8a2,3e53c5eefbe8dd0c980e13f6cd497f7399eeee7b85a16349bf77037a85dfd8a2,0,0,,,,match,,,,,,,,,,,,,,
0,544,0,alias_B_sb31,,,,d13e2d3740cc6d89ced6aae698eb2806df1d091ffadaf9df2459e22a6a2a6327,d13e2d3740cc6d89ced6aae698eb2806df1d091ffadaf9df2459e22a6a2a6327,0,0,,,,match,,,,,,,,,,,,,,
0,1808,0,corner_top_right,,,,2de0f6643f46b4fed6b36b682379eb8081420cbd52ee28145623bb7687dde5a4,2de0f6643f46b4fed6b36b682379eb8081420cbd52ee28145623bb7687dde5a4,0,0,,,,match,,,,,,,,,,,,,,
0,680,48,fgtile_2_alternate,2,alternate,1,1a3418684401fe19062cada310a684d2af95eda994669e70437b8433579f447b,1a3418684401fe19062cada310a684d2af95eda994669e70437b8433579f447b,0,0,,,,match,,,,,,,,,,,,,,
0,680,48,fgtile_2_base,2,base,0,1a3418684401fe19062cada310a684d2af95eda994669e70437b8433579f447b,1a3418684401fe19062cada310a684d2af95eda994669e70437b8433579f447b,0,0,,,,match,,,,,,,,,,,,,,
0,640,120,alias_A_sb29,,,,0a1e9d43ae80755455b543e0d191d35c73cf6cb27a5cedc75c5ccc12dcb5ef92,0a1e9d43ae80755455b543e0d191d35c73cf6cb27a5cedc75c5ccc12dcb5ef92,0,0,,,,match,,,,,,,,,,,,,,
0,648,128,alias_A_sb27,,,,a96f0b5597d31bab727f103a3a1f63417c707dec265b4a1c481f7cdb1893ff38,a96f0b5597d31bab727f103a3a1f63417c707dec265b4a1c481f7cdb1893ff38,0,0,,,,match,,,,,,,,,,,,,,
0,545,286,fgtile_10_alternate,10,alternate,11,364849d9409c0671189a6695aa1bb332705012a833fc15755bfafdc73f654b15,364849d9409c0671189a6695aa1bb332705012a833fc15755bfafdc73f654b15,0,0,,,,match,,,,,,,,,,,,,,
0,545,286,fgtile_10_base,10,base,10,364849d9409c0671189a6695aa1bb332705012a833fc15755bfafdc73f654b15,364849d9409c0671189a6695aa1bb332705012a833fc15755bfafdc73f654b15,0,0,,,,match,,,,,,,,,,,,,,
0,731,290,fgtile_11_alternate,11,alternate,11,ee82c6e2bebdfd76ddc2bf36d59d31180c6897a658d6ec046c42bc41cbf2cc44,ee82c6e2bebdfd76ddc2bf36d59d31180c6897a658d6ec046c42bc41cbf2cc44,0,0,,,,match,,,,,,,,,,,,,,
